iter	hours	assortment	log_posterior	log_prior	loglik	missing	mixture	null_assortment	scale	shape
2280	1.851	0.6	-3688.746	-13.531	-3675.215	0.22	0.897	0.429	34.316	0.704
2290	1.858	0.603	-3689.677	-13.109	-3676.569	0.22	0.929	0.428	37.778	0.709
2300	1.866	0.589	-3688.708	-13.31	-3675.398	0.22	0.906	0.43	34.826	0.725
2310	1.874	0.589	-3688.708	-13.31	-3675.398	0.22	0.906	0.43	34.826	0.725
2320	1.882	0.588	-3689.241	-13.442	-3675.799	0.22	0.923	0.428	36.172	0.689
2330	1.89	0.592	-3689.413	-13.415	-3675.997	0.22	0.901	0.427	36.309	0.688
2340	1.898	0.6	-3689.397	-13.138	-3676.259	0.22	0.923	0.428	37.661	0.706
2350	1.905	0.579	-3689.443	-12.759	-3676.684	0.22	0.918	0.428	39.698	0.726
2360	1.913	0.579	-3689.443	-12.759	-3676.684	0.22	0.918	0.428	39.698	0.726
2370	1.921	0.579	-3689.443	-12.759	-3676.684	0.22	0.918	0.428	39.698	0.726
2380	1.929	0.579	-3690.058	-13.442	-3676.615	0.22	0.945	0.427	36.53	0.688
2390	1.936	0.592	-3690.492	-13.416	-3677.076	0.22	0.944	0.426	37.73	0.674
2400	1.944	0.57	-3689.268	-13.179	-3676.089	0.22	0.929	0.428	37.575	0.703
2410	1.952	0.57	-3689.268	-13.179	-3676.089	0.22	0.929	0.428	37.575	0.703
2420	1.96	0.582	-3689.265	-12.871	-3676.394	0.22	0.916	0.428	38.724	0.725
2430	1.967	0.582	-3689.265	-12.871	-3676.394	0.22	0.916	0.428	38.724	0.725
2440	1.975	0.582	-3689.265	-12.871	-3676.394	0.22	0.916	0.428	38.724	0.725
2450	1.983	0.602	-3690.366	-12.859	-3677.508	0.22	0.896	0.427	40.183	0.704
2460	1.991	0.596	-3689.868	-12.416	-3677.452	0.22	0.903	0.429	39.55	0.775
2470	1.999	0.592	-3689.588	-12.461	-3677.128	0.22	0.917	0.428	40.509	0.756
2480	2.008	0.592	-3689.588	-12.461	-3677.128	0.22	0.917	0.428	40.509	0.756
2490	2.017	0.582	-3690.24	-12.429	-3677.811	0.22	0.926	0.429	39.606	0.776
2500	2.026	0.605	-3689.224	-13.424	-3675.799	0.22	0.921	0.428	35.805	0.697
2510	2.034	0.576	-3691.459	-12.907	-3678.552	0.22	0.954	0.429	37.829	0.741
2520	2.042	0.595	-3690.483	-12.617	-3677.866	0.22	0.939	0.428	39.9	0.747
2530	2.049	0.6	-3691.63	-11.887	-3679.743	0.22	0.898	0.43	41.419	0.828
2540	2.057	0.617	-3693.03	-12.35	-3680.68	0.22	0.956	0.427	42.953	0.746
2550	2.065	0.628	-3691.031	-12.769	-3678.262	0.22	0.929	0.428	39.706	0.727
2560	2.073	0.607	-3690.587	-12.914	-3677.673	0.22	0.92	0.426	40.351	0.697
2570	2.081	0.603	-3689.547	-13.076	-3676.471	0.22	0.919	0.429	36.229	0.736
2580	2.089	0.601	-3690.181	-13.403	-3676.778	0.22	0.945	0.428	36.486	0.694
2590	2.097	0.591	-3688.749	-13.469	-3675.279	0.22	0.921	0.428	35.266	0.699
2600	2.105	0.589	-3690.437	-13.842	-3676.595	0.22	0.951	0.426	35.316	0.659
2610	2.113	0.589	-3690.437	-13.842	-3676.595	0.22	0.951	0.426	35.316	0.659
2620	2.12	0.593	-3688.929	-13.21	-3675.719	0.22	0.911	0.429	35.461	0.729
2630	2.128	0.597	-3688.959	-13.479	-3675.48	0.22	0.914	0.43	33.871	0.72
2640	2.136	0.6	-3689.292	-13.945	-3675.348	0.22	0.937	0.429	32.393	0.689
2650	2.144	0.6	-3689.292	-13.945	-3675.348	0.22	0.937	0.429	32.393	0.689
2660	2.152	0.6	-3689.292	-13.945	-3675.348	0.22	0.937	0.429	32.393	0.689
2670	2.16	0.608	-3689.031	-13.518	-3675.513	0.22	0.911	0.429	34.419	0.705
2680	2.167	0.595	-3689.102	-13.336	-3675.766	0.22	0.914	0.43	34.444	0.729
2690	2.175	0.604	-3689.709	-12.676	-3677.033	0.22	0.916	0.429	39.139	0.746
2700	2.182	0.59	-3690.664	-13.23	-3677.434	0.22	0.924	0.426	39.006	0.676
2710	2.19	0.605	-3690.356	-13.753	-3676.604	0.22	0.899	0.426	35.533	0.659
2720	2.197	0.605	-3689.675	-13.605	-3676.07	0.22	0.919	0.427	35.915	0.673
2730	2.205	0.632	-3691.623	-13.462	-3678.161	0.22	0.931	0.426	37.385	0.672
2740	2.212	0.592	-3689.037	-13.097	-3675.94	0.22	0.919	0.429	36.58	0.727
2750	2.219	0.602	-3689.121	-13.329	-3675.793	0.22	0.906	0.43	34.509	0.728
2760	2.226	0.602	-3689.121	-13.329	-3675.793	0.22	0.906	0.43	34.509	0.728
2770	2.233	0.605	-3689.164	-14.484	-3674.68	0.22	0.934	0.428	31.118	0.645
2780	2.241	0.605	-3689.164	-14.484	-3674.68	0.22	0.934	0.428	31.118	0.645
2790	2.248	0.603	-3689.036	-15.116	-3673.92	0.22	0.943	0.429	27.743	0.633
2800	2.256	0.603	-3689.036	-15.116	-3673.92	0.22	0.943	0.429	27.743	0.633
2810	2.263	0.593	-3689.046	-14.66	-3674.386	0.22	0.915	0.427	30.486	0.633
2820	2.27	0.592	-3689.528	-14.073	-3675.454	0.22	0.884	0.428	32.81	0.66
2830	2.278	0.592	-3689.528	-14.073	-3675.454	0.22	0.884	0.428	32.81	0.66
2840	2.285	0.602	-3688.617	-14.305	-3674.312	0.22	0.927	0.429	31.005	0.666
2850	2.292	0.58	-3690.885	-13.952	-3676.933	0.22	0.944	0.425	35.486	0.643
2860	2.3	0.584	-3689.336	-13.704	-3675.632	0.22	0.934	0.428	34.962	0.677
2870	2.307	0.576	-3689.123	-13.884	-3675.24	0.22	0.919	0.427	34.425	0.661
2880	2.314	0.576	-3689.123	-13.884	-3675.24	0.22	0.919	0.427	34.425	0.661
