iter	hours	assortment	log_posterior	log_prior	loglik	missing	mixture	scale	shape
20600	15.181	0.556	-3607.965	-22.538	-3585.427	0.32	1.0	4.009	0.386
20700	15.249	0.556	-3607.965	-22.538	-3585.427	0.32	1.0	4.009	0.386
20800	15.328	0.556	-3607.965	-22.538	-3585.427	0.32	1.0	4.009	0.386
20900	15.411	0.542	-3609.293	-22.505	-3586.787	0.32	1.0	4.015	0.39
21000	15.493	0.553	-3608.949	-22.0	-3586.949	0.32	1.0	4.408	0.397
21100	15.577	0.553	-3608.949	-22.0	-3586.949	0.32	1.0	4.408	0.397
21200	15.66	0.558	-3607.944	-23.069	-3584.874	0.32	1.0	3.64	0.379
21300	15.743	0.558	-3607.944	-23.069	-3584.874	0.32	1.0	3.64	0.379
21400	15.828	0.558	-3607.944	-23.069	-3584.874	0.32	1.0	3.64	0.379
21500	15.911	0.558	-3607.944	-23.069	-3584.874	0.32	1.0	3.64	0.379
21600	15.995	0.558	-3607.944	-23.069	-3584.874	0.32	1.0	3.64	0.379
21700	16.08	0.56	-3610.244	-21.772	-3588.472	0.32	1.0	4.579	0.403
21800	16.164	0.581	-3609.644	-23.994	-3585.65	0.32	1.0	3.061	0.37
21900	16.247	0.578	-3610.502	-26.416	-3584.087	0.32	1.0	1.978	0.341
22000	16.33	0.568	-3608.962	-24.329	-3584.633	0.32	1.0	2.888	0.364
22100	16.414	0.573	-3608.721	-25.241	-3583.479	0.32	1.0	2.457	0.351
22200	16.495	0.573	-3608.721	-25.241	-3583.479	0.32	1.0	2.457	0.351
22300	16.578	0.582	-3610.991	-23.046	-3587.945	0.32	1.0	3.619	0.386
22400	16.662	0.552	-3610.352	-22.709	-3587.644	0.32	1.0	3.855	0.39
22500	16.747	0.556	-3610.073	-21.718	-3588.355	0.32	1.0	4.626	0.403
22600	16.83	0.572	-3610.915	-22.304	-3588.611	0.32	1.0	4.145	0.396
22700	16.913	0.563	-3610.452	-24.867	-3585.585	0.32	1.0	2.606	0.361
22800	16.996	0.543	-3610.817	-23.5	-3587.317	0.32	1.0	3.333	0.379
22900	17.08	0.583	-3611.218	-22.715	-3588.503	0.32	1.0	3.842	0.391
